sku,name,step,price_before_rub,price_after_rub,pv,inci,url,currency,region,source_category
R00003,Атоми Фэйм Набор | Atomy Russia,,8800,8000,55000,"Aqua/water/eau, pyrus malus (apple) fruit water, betaine, glycerin, 1,2-hexanediol, methylpropanediol, houttuynia cordata extract, lavandula angustifolia (lavender) extract, rosmarinus officinalis (rosemary) leaf extract, ocimum basilicum (basil) flower/leaf extract, anthemis nobilis flower extract, foeniculum vulgare (fennel) fruit extract, centella asiatica extract, ficus carica (fig) fruit extract, diospyros kaki leaf extract, portulaca oleracea extract, laminaria japonica extract, eclipta prostrata leaf extract, phellinus linteus extract, cordyceps sinensis extract, sparassis crispa extract, ulmus davidiana root extract, amaranthus caudatus seed extract, camellia sinensis leaf extract, camellia sinensis leaf water, aloe barbadensis leaf juice, hydrogenated lecithin, argania spinosa kernel oil, sodium hyaluronate, polyglyceryl-10 laurate, carbomer, dipropylene glycol, diphenyl dimethicone, triethylexanoin, tromethamine, butylene glycol, panthenol, biosaccharide gum-1, tocopheryl acetate, beta glucan, dimethicone, squalane, hydrogenated polyisobutene, dipotassium glycyrrhizate, bifida ferment lysate, polyglyceryl- 10 myristate, isononyl isononandate, polyglyceryl-10 stearate, disodium edta, caprylic/capric triglyceride, cetearyl alcohol, stearic acid, butyrospermum park shea butter, polyglyceryl-2 dipolyhydroxystearate, fructooligosaccharides, lecithin, cellulose gum, ceramide np. Hydrovized hyaluronic acid, inulin lauryl carbamate, disodium steardyl glutamate sodium hyaluronate crosspolymer, hvaluronic acid, palmitoyl pentapeptide 4, hydrolyzed sodium hyalurginate polysorbate 20, fragranance, pentylene glycol, ethylmexylglicerin.",https://www.atomy.ru/product/R00003,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00192,Атоми Фэйм Крем для кожи вокруг Глаз | Atomy Russia,,1750,1600,11700,"Aqua/water/eau, hydrogenated poly(c6-14 olefin), glycerin, caprylic/capric triglyceride, propanediol, o hydrogenated lecithin, dimethicone, butyrospermum parkii (shea) butter, 1,2-hexanediol, pyrus malus (apple) fruit water, cem alcohol, centella asiatica extract, ficus carica (fig) fruit extract, laminaria japonica extract, eclipta prostrata leaf extract, houttuynia cordata extract, lavandula angustifolia (lavender) extract, rosmarinus officinalis (rosemary) leaf extract, ocimum basilicum (basil) flower/leaf extract, anthemis nobilis flower extract, foeniculum vulgare (fennel) fruit o extract, diospyros kaki leaf extract, portulaca oleracea extract, citrus grandis (grapefruit) peel extract, ginkgo biloba leaf extract, phellinus linteus extract, salix nigra (willow) bark extract, cordyceps sinensis extract, ulmus davidiana root extract, amaranthus caudatus seed extract, sparassis crispa extract, camellia sinensis leaf extract, camellia sinensis leaf water, aloe barbadensis leaf juice, argania spinosa kernel oil, sodium hyaluronate, tocopheryl acetate, butylene glycol, carbomer, palmitic acid, tromethamine, stearic acid, biosaccharide gum-1, potassium cetyl phosphate, beta-glucan, squalane, hydrogenated polyisobutene, panthenol, bifida ferment lysate, cetearyl alcohol, adenosine, behenyl alcohol, isononyl isononanoate, polyglyceryl-10 stearate, polyglyceryl-2 dipolyhydroxystearate, fructooligosaccharides, glyceryl stearate se, cholesterol, hydrolyzed hyaluronic acid, inulin lauryl carbamate, ceramide np, myristic acid, hydrolyzed lupine protein, niacinamide, disodium stearoyl glutamate, acetyl glucosamine, creatine, hydrolyzed extensin, xanthan gum, sodium hyaluronate crosspolymer, hyaluronic acid, palmitoyl pentapeptide-4, hydrolyzed sodium hyaluronate, polysorbate 20, fragrance(parfum), ethylhexylglycerin, pentylene glycol.",https://www.atomy.ru/product/R00192,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00198,Атоми Фэйм Питательный Крем | Atomy Russia,,1750,1600,11700,"Aqua/water/eau, glycerin, isohexadecane, pyrus malus (apple) fruit water, triethylexanoin, sorbitan stearate, cetyl alcohol, 1,2-hexanediol, niacinamide, palmitic acid, houttuynia cordata extract, centella asiatica extract, ficus carica (fig) fruit extract, lavandula angustifolia (lavender) extract, rosmarinus officinalis (rosemary) leaf extract, ocimum basilicum (basil) flower/leaf extract, anthemis nobilis flower extract, foeniculum vulgare (fennel) fruit extract, diospyros kaki leaf extract, phellinus linteus extract, laminaria japonica extract, eclipta prostrata leaf extract, cordyceps sinensis extract, sparassis crispa extract, ulmus davidiana root extract, amaranthus caudatus seed extract, camellia sinensis leaf extract, camellia sinensis leaf water, hydrogenated lecithin, argania spinosa kernel oil, sodium hyaluronate, stearic acid, dimethicone, tromethamine, sucrose cocoate, sorbitan sesquioleate, carbomer, tocopheryl acetate, butylene glycol, glyceryl acrylate/acrylic acid copolymer, squalane, hydrogenated polyisobutene, beta-glucan, panthenol, bifida ferment lysate, dipropylene glycol, disodium edta, isononyl isononanoate, polyglycervl-10, stearate, dipotassium glycyrrhizate, cetearyl alcohol, butyrospermum parkii (shea) butter, polyglyceryl-2 dipolyhydroxystearate, myristic acid, fructooligosaccharides, ceramide np, caprylic/capric triglyceride, lecithin, inulin lauryl carbamate, hydrolyzed hyaluronic acid, biosaccharide gum-i, polyquaternium-51, disodium stearoyl glutamate, sodium hyaluronate crosspolymer, hyaluronic acid, hydrolyzed sodium hyaluronate, polysorbate 60, fragrance(parfum), ethylhexylglycerin, pentylene glycol.",https://www.atomy.ru/product/R00198,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00207,Атоми Абсолют СеллАктив Набор | Atomy Russia,,18000,16000,120000,,https://www.atomy.ru/product/R00207,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00217,Атоми СеллАктив Тонер | Atomy Russia,,3000,2700,18000,"Camellia sinensis leaf water, hylocereus undatus fruit extract, methylpropanediol, propanediol, niacinamide, glycerin, lavandula angustifolia (lavender) flower/leaf/stem extract, rosmarinus officinalis (rosemary) extract, althaea officinalis leaf/root extract, ocimum basilicum (basil) flower/leaf extract, pyrus malus (apple) fruit water, houttuynia cordata extract, anthemis nobilis flower extract, foeniculum vulgare (fennel) leaf extract, 1,2-hexanediol, bifida ferment lysate, camellia sinensis leaf extract, dioscorea japonica root extract, ulmus davidiana root extract, amaranthus caudatus seed extract, phellinus linteus extract, cordyceps sinensis extract, laminaria japonica extract, eclipta prostrata leaf extract, avena sativa (oat) kernel extract, pteris multifida extract, cynara scolymus (artichoke) leaf extract, hydrogenated lecithin, argania spinosa kernel oil, sodium hyaluronate, raffinose, tocopheryl acetate, panthenol, cholesterol, pichia ferment lysate filtrate, caprylic/capric triglyceride, polyglyceryl-10 laurate, carbomer, polyquaternium-51, tromethamine, dimethicone, squalane, hydrogenated polyisobutene, dipropylene glycol, saccharomyces/rice ferment filtrate, glycosyl trehalose, ceramide np, beta-glucan, isononyl isononanoate, polyglyceryl-10 stearate, disodium edta, hydrogenated starch hydrolysate, butyleneglycol, cetearyl alcohol, biosaccharide gum-1, stearic acid, butyrospermum parkii (shea) butter, polyglyceryl-2 dipolyhydroxystearate, lecithin, fructooligosaccharides, inulin lauryl carbamate, hydrogenated phosphatidylcholine, isostearyl isostearate, triethylhexanoin, hydrolyzed lupine protein, hydrolyzed hyaluronic acid, tocopheryl linoleate, disodium stearoyl glutamate, hydrogenated polydecene, phospholipids, glyceryl oleate, folic acid, ceramide ng, potassium cetyl phosphate, tocopherol, lactic acid/glycolic acid copolymer, palmitoyl pentapeptide-4, polivinyl alcohol, serine, palmitic acid, glutamine, leucine, aspartic acid, isoleucine, alanine, glycine, glutamic acid, lysine, valine, arginine, tyrosine, tryptophan, phenylalanine, proline, histidine, phytosphingosine, fragrance(parfum), pentylene glycol, ethylhexylglycerin, linalool.",https://www.atomy.ru/product/R00217,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00227,Атоми СеллАктив Ампула | Atomy Russia,,3400,3100,22000,"Camellia sinensis leaf water, leucojum aestivum bulb extract, glycerin, methylpropanediol, niacinamide, polyglycerin-3, 1,2-hexanediol, hydrogenated lecithin, propanediol, dioscorea japonica root extract, camellia sinensis leaf extract, centella asiatica extract, portulaca oleracea extract, diospyros kaki leaf extract, rosmarinus officinalis (rosemary) leaf extract, chamomilla recutita (matricaria) flower extract, cordyceps sinensis extract, phellinus linteus extract, avena sativa (oat) kernel extract, pteris multifida extract, cynara scolymus (artichoke) leaf extract, bellis perennis (daisy) flower extract, argania spinosa kernel oil, sodium hyaluronate, raffinose, butylene glycol, panthenol, dimethicone, cholesterol, pichia ferment lysate filtrate, bisabolol, acrylates/c10-30 alkyl acrylate crosspolymer, tromethamine, polyquaternium-51, ammonium acryloyldimethyltaurate/vp copolymer, xanthan gum, carnosine, polyglyceryl-10 laurate, glycosyl trehalose, squalane, hydrogénated polyisobutene, ceramidé np, hydrogenated starch hydrolysate, biosaccharide gum-1, adenosine, isononyl isononanoate, polyglyceryl-10 stearate, tocopheryl linoleate, neopentyl glycol diheptanoate, disodium edta, beta-glucan, carbomer, cetearyl alcohol, lecithin, sucrose distearate, stearic acid, butyrospermum parkii (shea) butter, polyglyceryl-2 dipolyhydroxystearate, dihydrocholesteryl butyrate, dihydrocholesteryl oleate, cholesteryl nonanoate, cholesteryl butyrate, triethylhexanoin, hydrogenated polydecene, inulin lauryl carbamate, phospholipids, hydrogenated phosphatidylcholine, isostearylisostearate, hydrolyzed lupine protein, acacia senegal gum, folic acid, gelatin, ceramide ng, disodium stearoyl glutamate, palmitoyl pentapeptide-4, glyceryl oleate, potassium cetyl phosphate, sodium chloride, tocopherol, lactic acid/glycolic acid copolymer, polyvinyl alcohol, dipotassium phosphate, potassium phosphate, lysine, serine, alanine, oligopeptide-1, threonine, palmitic acid, glycine, glutamine, arginine, proline, histidine, phytosteryl oleate, phytosphingosine, fragrance(parfum), pentylene glycol, ethylhexylglycerin, linalool.",https://www.atomy.ru/product/R00227,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00237,Атоми СеллАктив Сыворотка | Atomy Russia,,3200,2900,20000,"Camellia sinensis leaf water, leucojum aestivum bulb extract, glycerin, methylpropanediol, phellinus linteus extract, hydrogenated poly(c6-14 olefin), saccharomyces/rice ferment filtrate, hydrogenated lecithin, dimethicone, 1,2-hexanediol, triethylhexanoin, phytosqualane, lavandula angustifolia (lavender) flower/leaf/stem extract, rosmarinus officinalis (rosemary) extract, althaea officinalis leaf/root extract, ocimum basilicum (basil) flower/leaf extract, pyrus malus (apple) fruit water, houttuynia cordata extract, anthemis nobilis flower extract, foeniculum vulgare (fennel) leaf extract, ulmus davidiana root extract, amaranthus caudatus seed extract, camellia sinensis leaf extract, diospyros kaki leaf extract, avena sativa (oat) kernel extract, pteris multifida extract, cynara scolymus (artichoke) leaf extract, cordyceps sinensis extract, laminaria japonica extract, eclipta prostrata leaf extract, melia azadirachta flower extract, ocimum sanctum leaf extract, melia azadirachta leaf extract, portulaca oleracea extract, pueraria thunbergiana root extract, glycyrrhiza glabra (licorice) root extract, paeonia lactiflora root extract, cnidium officinale root extract, curcuma longa (turmeric) root extract, corallina officinalis extract, theobroma cacao (cocoa) seed extract, argania spinosa kernel oil, sodium hyaluronate, soluble collagen, aloe barbadensis leaf juice, propanediol, niacinamide, raffinose, ammonium acryloyldimethyltaurate/vp copolymer, butylene glycol, panthenol, tromethamine, carbomer, cholesterol, pichia ferment lysate filtrate, tocopheryl acetate, squalane, polyquaternium-51, hydrogenated polyisobutene, dipropylene glycol, beta-glucan, adenosine, isononyl isononanoate, polyglyceryl-10 stearate, ceramide np, cetearyl alcohol, stearic acid, butyrospermum parkii (shea) butter, polyglyceryl-2 dipolyhydroxystearate, fructooligosaccharides, dextrin, folic acid, inulin lauryl carbamate, hydrolyzed lupine protein, hydrolyzed hyaluronic acid, xanthan gum, disodium stearoyl glutamate, hydrogenated polydecene, phospholipids, hydrogenated phosphatidylcholine, isostearylisostearate, palmitoyl pentapeptide 4, glyceryl oleate, ceramide ng, tocopheryl linoleate, sodium chloride, lecithin tocopherol, lactic acid/glycolic acid copolymer, polyvinyl alcohol, potassium cetyl phosphate, dipotassium phosphate, lysine, oligopeptide- 1, palmitic acid potassium phosphate, glycine, glutamine, serine, alanine, arginine, threonine proline, histidine, phyto'sphingosine, fragrance(parfum), pentylene glycol, ethylhexylglycerin, linalool.",https://www.atomy.ru/product/R00237,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00257,Атоми СеллАктив крем для кожи вокруг глаз | Atomy Russia,,3200,2900,20000,,https://www.atomy.ru/product/R00257,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00261,Атоми ББ крем | Atomy Russia,,800,700,3000,"Aqua/water/eau, butylene glycol, cyclomethicone, titanium dioxide, dimethicone, prunus amygdalus dulcis (sweet almond) oil, isopropyl palmitate, talc, butylene glycol dicaprylate/dicaprate, ethylhexyl methoxycinnamate, hexyldecylmyristoyl methylamino propionate, dipentaerythrityl hexahydroxystearate/ hexastearate/hexarosinate, cetyl peg/ppg-10/1 dimethicone, arbutin, zinc oxide, magnesium sulfate, portulaca oleracea extract, phytosqualane, polyglyceryl4 isostearate, hydrogenated poly (c6-14 olefin), tocopheryl acetate, camellia sinensis leaf extract, melissa officinalis leaf extract, rosmarinus officinalis (rosemary) leaf extract, althaea officinalis leaf/root extract, borago officinalis extract, dimethicone/vinyl dimethicone crosspolymer, vinyl dimethicone/ methicone silsesquioxane crosspolymer, disteardimonium hectorite, glyceryl caprylate, caprylyl glycol, trihydroxystearin, methicone, glycosyl trehalose, hydrogenated starch hydrolysate, silica, aluminum hydroxide, aluminum stearate, sulfur, fragrance (parfum), iron oxides (ci 77492), iron oxides(ci 77491), iron oxides(ci t7499).",https://www.atomy.ru/product/R00261,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003387&sortType=POPULAR
R00266,Атоми Хэлси Глоу база под макияж | Atomy Russia,,1100,1000,5000,"Aqua/water/eau, butylene glycol, ethylhexyl methoxycinnamate, cyclopentasiloxane, ethylhexyl salicylate, isoamyl p-methoxycinnamate, niacinamide, diethylamino hydroxybenzoyl hexylbenzoate, dicaprylyl carbonate, cetearyl alcohol, behenyl alcohol, titanium dioxide, potassium cetyl",https://www.atomy.ru/product/R00266,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003387&sortType=POPULAR
R00267,Атоми Абсолют СеллАктив Питательный крем | Atomy Russia,,3000,2700,18000,"Camellia sinensis leaf water, narcissus tazetta bulb extract, glycerin, triethyl hexanoin, sohexadecane, dimethicone, sorbitan stearate, squalane, bifida ferment lysate, cetearyl alcohol 1,2-hexanediol, ocimum basilicum (basil) flower/leaf extract, pyrus malus (apple) fruit water, houttuynia cordata extract, anthemis nobilis flower extract, althaea officinalis leaf/root extract, lavandula angustifolia (lavender) flower/leaf/stem extract, rosmarinus officinalis (rosemary) extract, foeniculum vulgare (fennel) leaf extract, vegetable oil, caprylic/capric/succinic triglyceride, betaine, methylpropanediol, butylene glycol, palmitic acid, ulmus davidiana root extract, amaranthus caudatus seed extract, sorbitan sesquioleate, stearic acid, sucrose cocoate, dipropylene glycol, hydrogenated lecithin, laminaria japonicà extract, eclipta prostrata leaf extract, behenyl alcohol, pichia ferment lysate filtrate, camellia sinensis leaf extract, hydrogenated polyisobutene, tromethamine, sodium stearoyl glutamate, fragrance, phellinus linteus extract, glyceryl acrylate/acrylic acid copolymer,, beta glucan, polyquaternium-s1, argania spinosa kernel oil, isononyl isononanoate, polyglyceryl-10 stearate, avena sativa (oat) kernei, extract, cynara scolymus (artichoke) leaf extract, pteris multifida extract, glyceryl stearate se, cordyceps sinensis extract, saccharomyces/rice ferment filtrate, carbomer, butyrospermum parkii (shea butter, polyglyceryl-2 dipolyhydroxystearate, fructooligosaccharides, adenosine, disodium edta, melia azadirachta flower extract, ocimum sanctum leaf extract, cholesterol, melia azadirachta leaf extract, ceramide np, dipotassium glycyrrhizate, curcuma longa (turmeric) root extract, diospyros kaki leaf extract, polyglyceryl-10 laurate, propanediol, corallina officinalis extract, niacinamide, raffinose, dextrin, theobroma cacao (cocoa) seed extract, panthenol, inulin lauryl carbamate, hydrolyzed hyaluronic acid, myristic acid, pentylene glycol, hydrogenated polydecene, phospholipids, hydrogenated phosphatidylcholine, isostearyl isostearate, hydrolyzed lupine protein, phytosphingosine, disodium stearov, glutamate, ceramide ng, tocopheryl linoleate, folic acid, lactic acid/glycolic acid copolymer, palmitovl pentapeptide 4, polyvinyl alcohol, ethylhex/lglycerin, potassium cetyl phosphate, glyceryl, oleate, glycine, alanine, isoleucine, serine, arginine, proline, tyrosine, glutamine, lysine, valine, lecithin, tocopherol, aspartic acid.",https://www.atomy.ru/product/R00267,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003386&sortType=POPULAR
R00275,Атоми Солнцезащитный Крем | Atomy Russia,,800,700,3000,"Aqua/water/eau, cyclopentasiloxane, ethylhexylmethoxycinnamate, zinc oxide, ethylhexylsalicylate, titanium dioxide, glycerin, dipropylene glycol, peg-10 dimethicone, dicaprylyl carbonate, disteardimonium hectorite, viscum album (mistletoe) leaf extract, centella asiatica extract, portulaca oleracea extract, tocopheryl acetate, camellia sinensis leaf extract, thymus vulgaris (thyme) oil, melissa officinalis extract, althaea officinalis leaf/root extract, perilla ocymoides leaf extract, borago officinalis extract, jasminum officinale (jasmine) extract, dimethicone, magnesium sulfate, aluminum hydroxide, bis-ethylhexyloxyphenol methoxyphenyl triazine, stearic acid, vinyl dimethicone/ methicone silsesquioxane crosspolymer, methicone, caprylyl glycol, polymethylsilsesquioxane, glyceryl caprylate, polyglyceryl-6 polyricinoleate, peg-9 polydimethylsiloxyethyl dimethicone, microcrystalline cellulose, dimethicone/ vinyl dimethicone crosspolymer, cellulose gum, fragrance(parfum), phenoxyethanol.",https://www.atomy.ru/product/R00275,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003388&sortType=POPULAR
R00276,Атоми Абсолют Солнцезащитная Эссенция | Atomy Russia,,1100,1000,5000,"Water, ethylhexyl methoxycinnamate, ethylhexyl salicylate, butylene glycol, c12-15 alkyl benzoate, homosalate, diethylamino hydroxybenzoyl hexyl benzoate, octocrylene, titanium dioxide, 1,2-hexanediol, niacinamide, alcohol, hylocereus undatus fruit extract, c20-22 alkyl phosphate, c20-22 alcohols, silica, caprylyl methicone, curcuma longa (turmeric) root extract, salvia hispanica seed extract, glyceryl stearate, behenyl alcohol, aluminum stearate, polyhydroxystearic acid, sodium acrylate/sodium acryloyldimethyl taurate copolymer, tromethamine, isohexadecane, polysorbate 80, propanediol, saccharide hydrolysate, fragrance, polyacrylate crosspolymer-6, alumina, ethylhexylglycerin, glyceryl caprylate, octyldodecanol, xanthan gum, adenosine, portulaca oleracea extract, centella asiatica extract, houttuynia cordata extract, pichia ferment lysate filtrate, camellia sinensis leaf water, glycerin, echium plantagineum seed oil, iron oxides(ci 77492), diospyros kaki leaf extract, iron oxides(ci 77491), helianthus annuus (sunflower) seed oil, unsaponifiables, cardiospermum halicacabum flower/leaf/vine extract, hydrogenated lecithin, raffinose, pentylene glycol, panthenol, cholesterol, hydrolyzed lupine protein, ceramide np, lactic acid/glycolic acid copolymer, polyvinyl alcohol, serine, palmitic acid, glutamine, leucine, aspartic acid, alanine, isoleucine, glycine, glutamic acid, lysine, valine, arginine, tyrosine, phenylalanine, proline, histidine, tryptophan.",https://www.atomy.ru/product/R00276,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003388&sortType=POPULAR
R00279,Атоми Абсолют Солнцезащитный Кушон | Atomy Russia,,1550,1400,9000,"aqua/water/eau, zinc oxide, triheptancin, c12-15 alkyl benzoate, phenyl trimeth cone, titan um dioxide, caprylyl methicone, butylene glycol, caprylic, capric triglyceride, niacinam de, methyl methacrylate crosspolymer, polyglyceryl 4 disosterate polyhydroxysterate/sebacate, propylheptyl. caprylate, vinyl dimethicone/methicone silsequioxane crosspolymer, magnesium sulfate, stellaria media chickieed extract, helianthus annuus /sunflower) flower extract, hylocereus undatus fruit extract, vaccinium vitis-daea fruit extract, lespedeza capitatà leaf/stem extract, aloe barbadensis leaf extract, althaea rosea flower extract, solidago virgaurea (goldenrod) extract, eugenia caryophyllus clove) bud extract, hydrogenated lecithin, camellia sinensis leaf water, stearic acid, aluminum hydroxide triethoxycaprylylsilane, disostearyl malate, polygly ceryl-6 polyricinoleate, dicaprylyl carbonate, glyceryl caprylate caprylyl glycol, disteardimonium hectorite, ethylhexylglycerin, adenosine, mica, propanediol 1,2-hexanediol, polymethylsilsesquioxane, silica, tocopherol, glycerin, cerium oxide, hydrogen dinethicone, madecassic acid, asiaticoside, asiatic acid, polyhydroxystearic acid, raffinose, pentylene glycol, panthenol cholesterol, hydrolyzed lupine protein potassium metabisulfite ceramide np, tromethamine glycolic acid, lactic acid, polyvinyl alcohol, palmitic acid, serine, glutamine, leucine, aspartic acid, isoleucine, alanine, glycine, glutamic acid, lysine, arginine, phenylalanine, proline, histidine, valine, tyrosine, tryptophan, fragrance (parfumi, iron oxides/ci 71492), iron oxides c 77491), iron oxides 0/7/435).",https://www.atomy.ru/product/R00279,RUB,RU,https://www.atomy.ru/category?dispCtgNo=2504003388&sortType=POPULAR
